mood id,mood,level,parent id,parent mood
2,angry,1,,
1,aggravated,2,2,angry
3,annoyed,2,2,angry
110,bitchy,2,2,angry
8,cranky,2,2,angry
104,cynical,2,2,angry
12,enraged,2,2,angry
47,frustrated,2,2,angry
95,grumpy,2,2,angry
19,infuriated,2,2,angry
20,irate,2,2,angry
112,irritated,2,2,angry
23,moody,2,2,angry
24,pissed off,2,2,angry
28,stressed,2,2,angry
100,rushed,3,28,stressed
87,awake,1,,
6,confused,1,,
56,curious,2,6,confused
45,determined,1,,
118,predatory,2,45,determined
130,devious,1,,
11,energetic,1,,
59,bouncy,2,11,energetic
52,hyper,2,11,energetic
13,enthralled,1,,
15,happy,1,,
44,amused,2,15,happy
125,cheerful,2,15,happy
99,chipper,2,15,happy
98,ecstatic,2,15,happy
41,excited,2,15,happy
16,high,3,41,excited
17,horny,3,41,excited
126,good,2,15,happy
132,grateful,2,15,happy
116,impressed,2,15,happy
21,jubilant,2,15,happy
86,loved,2,15,happy
70,optimistic,2,15,happy
43,hopeful,3,70,optimistic
109,pleased,2,15,happy
69,refreshed,2,15,happy
62,rejuvenated,3,69,refreshed
53,relaxed,2,15,happy
68,calm,3,53,relaxed
57,mellow,3,53,relaxed
58,peaceful,3,53,relaxed
77,recumbent,3,53,relaxed
26,satisfied,3,53,relaxed
64,content,4,26,satisfied
63,complacent,5,64,content
65,indifferent,5,64,content
93,full,4,26,satisfied
42,relieved,4,26,satisfied
66,silly,2,15,happy
106,crazy,3,66,silly
35,ditzy,3,66,silly
67,flirty,3,66,silly
120,giddy,3,66,silly
72,giggly,3,66,silly
36,mischievous,3,66,silly
117,naughty,4,36,mischievous
105,quixotic,3,66,silly
96,weird,3,66,silly
121,surprised,2,15,happy
122,shocked,3,121,surprised
131,thankful,2,15,happy
32,touched,2,15,happy
48,indescribable,1,,
102,nerdy,1,,
115,dorky,2,102,nerdy
103,geeky,2,102,nerdy
61,okay,1,,
92,blah,2,61,okay
33,lazy,2,61,okay
78,exanimate,3,33,lazy
114,apathetic,4,78,exanimate
113,blank,4,78,exanimate
75,lethargic,3,33,lazy
76,listless,3,33,lazy
25,sad,1,,
5,bored,2,25,sad
7,crappy,2,25,sad
129,crushed,2,25,sad
9,depressed,2,25,sad
55,disappointed,2,25,sad
10,discontent,2,25,sad
80,envious,3,10,discontent
38,gloomy,2,25,sad
71,pessimistic,3,38,gloomy
133,jealous,2,25,sad
22,lonely,2,25,sad
39,melancholy,2,25,sad
37,morose,2,25,sad
124,numb,2,25,sad
123,rejected,2,25,sad
81,sympathetic,2,25,sad
74,uncomfortable,2,25,sad
84,cold,3,74,uncomfortable
119,dirty,3,74,uncomfortable
34,drunk,3,74,uncomfortable
14,exhausted,3,74,uncomfortable
40,drained,4,14,exhausted
31,tired,4,14,exhausted
51,groggy,5,31,tired
49,sleepy,5,31,tired
111,guilty,3,74,uncomfortable
83,hot,3,74,uncomfortable
18,hungry,3,74,uncomfortable
54,restless,3,74,uncomfortable
82,sick,3,74,uncomfortable
97,nauseated,4,82,sick
27,sore,3,74,uncomfortable
29,thirsty,3,74,uncomfortable
85,worried,2,25,sad
46,scared,1,,
4,anxious,2,46,scared
127,distressed,3,4,anxious
79,embarassed,2,46,scared
128,intimidated,2,46,scared
134,nervous,2,46,scared
30,thoughtful,1,,
101,contemplative,2,30,thoughtful
60,nostalgic,2,30,thoughtful
73,pensive,2,30,thoughtful
88,working,1,,
90,accomplished,2,88,working
108,artistic,2,88,working
91,busy,2,88,working
107,creative,2,88,working
89,productive,2,88,working
