mood id,mood
2,angry
1,aggravated
3,annoyed
110,bitchy
8,cranky
104,cynical
12,enraged
47,frustrated
95,grumpy
19,infuriated
20,irate
112,irritated
23,moody
24,pissed off
28,stressed
100,rushed
87,awake
6,confused
56,curious
45,determined
118,predatory
130,devious
11,energetic
59,bouncy
52,hyper
13,enthralled
15,happy
44,amused
125,cheerful
99,chipper
98,ecstatic
41,excited
16,high
17,horny
126,good
132,grateful
116,impressed
21,jubilant
86,loved
70,optimistic
43,hopeful
109,pleased
69,refreshed
62,rejuvenated
53,relaxed
68,calm
57,mellow
58,peaceful
77,recumbent
26,satisfied
64,content
63,complacent
65,indifferent
93,full
42,relieved
66,silly
106,crazy
35,ditzy
67,flirty
120,giddy
72,giggly
36,mischievous
117,naughty
105,quixotic
96,weird
121,surprised
122,shocked
131,thankful
32,touched
48,indescribable
102,nerdy
115,dorky
103,geeky
61,okay
92,blah
33,lazy
78,exanimate
114,apathetic
113,blank
75,lethargic
76,listless
25,sad
5,bored
7,crappy
129,crushed
9,depressed
55,disappointed
10,discontent
80,envious
38,gloomy
71,pessimistic
133,jealous
22,lonely
39,melancholy
37,morose
124,numb
123,rejected
81,sympathetic
74,uncomfortable
84,cold
119,dirty
34,drunk
14,exhausted
40,drained
31,tired
51,groggy
49,sleepy
111,guilty
83,hot
18,hungry
54,restless
82,sick
97,nauseated
27,sore
29,thirsty
85,worried
46,scared
4,anxious
127,distressed
79,embarassed
128,intimidated
134,nervous
30,thoughtful
101,contemplative
60,nostalgic
73,pensive
88,working
90,accomplished
108,artistic
91,busy
107,creative
89,productive
